id.orig_p,id.resp_h,missed_bytes,resp_bytes,resp_pkts,id.resp_p,conn_state,orig_pkts,proto,id.orig_h,duration,orig_bytes,proto_enc,ai_label,ai_anomalie,ai_score
64845,10.1.17.2,0,199.0,1,53,SF,1,udp,10.1.17.215,0.0517749786376953,39.0,2,NORMAL,False,0.2967
51882,10.1.17.2,0,240.0,1,53,SF,1,udp,10.1.17.215,0.0468988418579101,39.0,2,NORMAL,False,0.3053
53654,10.1.17.2,0,139.0,1,53,SF,1,udp,10.1.17.215,0.0506880283355712,36.0,2,NORMAL,False,0.0
58638,10.1.17.2,0,93.0,1,53,SF,1,udp,10.1.17.215,0.0503530502319335,36.0,2,NORMAL,False,0.0
56681,10.1.17.2,0,157.0,1,53,SF,1,udp,10.1.17.215,0.0466499328613281,37.0,2,NORMAL,False,0.0
52147,10.1.17.2,0,61.0,1,53,SF,1,udp,10.1.17.215,0.0577418804168701,37.0,2,NORMAL,False,0.0
51830,10.1.17.2,0,239.0,1,53,SF,1,udp,10.1.17.215,0.0851171016693115,39.0,2,NORMAL,False,0.3053
56991,10.1.17.2,0,210.0,1,53,SF,1,udp,10.1.17.215,0.0581281185150146,39.0,2,NORMAL,False,0.2925
56246,10.1.17.2,0,295.0,1,53,SF,1,udp,10.1.17.215,0.0824429988861084,30.0,2,NORMAL,False,0.3953
60904,10.1.17.2,0,212.0,1,53,SF,1,udp,10.1.17.215,0.0777640342712402,30.0,2,NORMAL,False,0.2625
53390,10.1.17.2,0,199.0,1,53,SF,1,udp,10.1.17.215,0.0005221366882324,39.0,2,NORMAL,False,0.2967
62614,10.1.17.2,0,240.0,1,53,SF,1,udp,10.1.17.215,0.0005221366882324,39.0,2,NORMAL,False,0.3053
58075,10.1.17.2,0,274.0,1,53,SF,1,udp,10.1.17.215,0.0003430843353271,46.0,2,NORMAL,False,0.0353
55068,10.1.17.2,0,318.0,1,53,SF,1,udp,10.1.17.215,0.0002391338348388,46.0,2,NORMAL,False,0.1203
59062,10.1.17.2,0,139.0,1,53,SF,1,udp,10.1.17.215,0.0001928806304931,36.0,2,NORMAL,False,0.0
49248,10.1.17.2,0,154.0,1,53,SF,1,udp,10.1.17.215,0.0007989406585693,36.0,2,NORMAL,False,0.0
58970,10.1.17.2,0,157.0,1,53,SF,1,udp,10.1.17.215,0.0006129741668701,37.0,2,NORMAL,False,0.0
54133,10.1.17.2,0,111.0,1,53,SF,1,udp,10.1.17.215,0.000605821609497,37.0,2,NORMAL,False,0.0
49949,45.125.66.32,0,3184.0,83,2917,SF,106,tcp,10.1.17.215,3.7733850479125977,118081.0,1,NORMAL,False,0.475
60435,10.1.17.2,0,93.0,1,53,SF,1,udp,10.1.17.215,0.0488519668579101,48.0,2,NORMAL,False,0.0
61101,10.1.17.2,0,77.0,1,53,SF,1,udp,10.1.17.215,0.0783050060272216,48.0,2,NORMAL,False,0.0
62984,10.1.17.2,0,2583.0,24,53,SF,25,udp,10.1.17.215,160.55583691596985,883.0,2,NORMAL,False,0.202
49315,10.1.17.2,0,210.0,1,53,SF,1,udp,10.1.17.215,0.0002050399780273,39.0,2,NORMAL,False,0.2925
57685,10.1.17.2,0,239.0,1,53,SF,1,udp,10.1.17.215,0.0004510879516601,39.0,2,NORMAL,False,0.3053
59682,10.1.17.2,0,295.0,1,53,SF,1,udp,10.1.17.215,0.0002660751342773,30.0,2,NORMAL,False,0.3953
58476,10.1.17.2,0,212.0,1,53,SF,1,udp,10.1.17.215,0.0002667903900146,30.0,2,NORMAL,False,0.2625
49916,10.1.17.2,0,2500.0,18,445,RSTO,24,tcp,10.1.17.215,10.695976972579956,6172.0,1,NORMAL,False,0.5
57438,10.1.17.2,0,212.0,2,53,SF,3,udp,10.1.17.215,1.7005369663238523,91.0,2,NORMAL,False,0.0649
49919,10.1.17.2,0,572.0,7,49668,SF,9,tcp,10.1.17.215,14.185343980789185,948.0,1,NORMAL,False,0.01
49918,10.1.17.2,0,376.0,5,135,SF,7,tcp,10.1.17.215,14.187644004821776,328.0,1,NORMAL,False,0.0
49910,45.125.66.252,0,2529.0,70,443,RSTO,40,tcp,10.1.17.215,162.15476894378662,1442.0,1,ANOMALIE,True,0.705
64990,129.250.35.250,0,48.0,1,123,SF,1,udp,10.1.17.215,0.0539300441741943,48.0,2,NORMAL,False,0.0
64990,17.253.26.251,0,48.0,1,123,SF,1,udp,10.1.17.215,0.0782930850982666,48.0,2,NORMAL,False,0.0
64990,142.202.190.19,0,48.0,1,123,SF,1,udp,10.1.17.215,0.0789451599121093,48.0,2,NORMAL,False,0.0
64990,129.6.15.28,0,48.0,1,123,SF,1,udp,10.1.17.215,0.0837149620056152,48.0,2,NORMAL,False,0.0
64990,169.229.128.134,0,48.0,1,123,SF,1,udp,10.1.17.215,0.0938971042633056,48.0,2,NORMAL,False,0.0
64990,213.239.239.164,0,48.0,1,123,SF,1,udp,10.1.17.215,0.1722409725189209,48.0,2,NORMAL,False,0.0
64990,194.58.203.20,0,48.0,1,123,SF,1,udp,10.1.17.215,0.1733341217041015,48.0,2,NORMAL,False,0.0
64990,133.243.238.243,0,48.0,1,123,SF,1,udp,10.1.17.215,0.2090020179748535,48.0,2,NORMAL,False,0.0
57439,10.1.17.2,0,208.0,1,389,SF,1,udp,10.1.17.215,0.000511884689331,232.0,2,NORMAL,False,0.3492
3,10.1.17.2,0,0.0,0,3,OTH,2,icmp,10.1.17.215,1.109764814376831,391.0,0,ANOMALIE,True,0.84
51355,239.255.255.250,0,0.0,0,1900,S0,3,udp,10.1.17.215,6.019457817077637,411.0,2,NORMAL,False,0.1572
52149,10.1.17.2,0,208.0,1,389,SF,1,udp,10.1.17.215,0.0003390312194824,233.0,2,NORMAL,False,0.3492
5353,224.0.0.251,0,0.0,0,5353,S0,2,udp,10.1.17.215,0.9968700408935548,86.0,2,NORMAL,False,0.01
49921,23.41.241.15,0,95635.0,76,443,SF,42,tcp,10.1.17.215,109.5897901058197,1203.0,1,NORMAL,False,0.25
49920,20.241.44.114,0,6937.0,13,443,SF,15,tcp,10.1.17.215,110.00381398200987,911.0,1,NORMAL,False,0.18
49909,45.125.66.32,0,498677.0,401,2917,SF,192,tcp,10.1.17.215,4.38200306892395,2164.0,1,NORMAL,False,0.115
123,10.1.17.2,0,120.0,1,123,SF,1,udp,10.1.17.215,0.0018918514251708,120.0,2,NORMAL,False,0.0
137,10.1.17.255,0,0.0,0,137,S0,1,udp,10.1.17.215,0.0,0.0,2,ANOMALIE,True,0.9747
137,10.1.17.2,0,0.0,0,137,S0,1,udp,10.1.17.215,0.0,0.0,2,ANOMALIE,True,0.9747
138,10.1.17.255,0,0.0,0,138,S0,8,udp,10.1.17.215,9.040309190750122,1536.0,2,NORMAL,False,0.1175
49614,10.1.17.2,0,128.0,1,53,SF,2,udp,10.1.17.215,0.0591440200805664,68.0,2,NORMAL,False,0.0
56417,10.1.17.2,0,187.0,1,53,SF,2,udp,10.1.17.215,0.0427339076995849,64.0,2,NORMAL,False,0.035
49956,10.1.17.2,0,572.0,7,49668,SF,9,tcp,10.1.17.215,10.873827934265137,948.0,1,NORMAL,False,0.01
49955,10.1.17.2,0,376.0,5,135,SF,7,tcp,10.1.17.215,10.876410007476808,328.0,1,NORMAL,False,0.0
49960,13.107.246.57,0,7802.0,12,443,SF,12,tcp,10.1.17.215,0.154869794845581,563.0,1,NORMAL,False,0.0
49964,10.1.17.2,0,3692.0,8,389,RSTR,9,tcp,10.1.17.215,0.0060908794403076,2599.0,1,NORMAL,False,0.055
49963,10.1.17.2,0,3659.0,10,389,RSTR,11,tcp,10.1.17.215,0.016122817993164,3129.0,1,NORMAL,False,0.04
49961,10.1.17.2,0,644.0,4,135,RSTO,7,tcp,10.1.17.215,0.4744338989257812,496.0,1,NORMAL,False,0.0
49962,10.1.17.2,0,1869.0,10,49668,RSTO,13,tcp,10.1.17.215,0.4703488349914551,3797.0,1,NORMAL,False,0.0
49965,20.190.157.3,0,5160.0,10,443,RSTO,15,tcp,10.1.17.215,0.370323896408081,1041.0,1,NORMAL,False,0.03
61373,10.1.17.2,0,3710.0,35,53,SF,36,udp,10.1.17.215,251.84027099609372,1246.0,2,NORMAL,False,0.082
49966,20.44.239.154,0,4313.0,11,443,SF,13,tcp,10.1.17.215,1.497493028640747,1036.0,1,NORMAL,False,0.215
49967,20.44.239.154,0,4282.0,11,443,SF,13,tcp,10.1.17.215,1.4719059467315674,1044.0,1,NORMAL,False,0.215
53835,10.1.17.2,0,286.0,1,53,SF,2,udp,10.1.17.215,0.0412080287933349,86.0,2,NORMAL,False,0.0853
58468,10.1.17.2,0,185.0,1,53,SF,2,udp,10.1.17.215,0.0492920875549316,98.0,2,NORMAL,False,0.115
57979,10.1.17.2,0,373.0,2,53,SF,3,udp,10.1.17.215,4.404754877090454,149.0,2,NORMAL,False,0.0772
65498,10.1.17.2,0,162.0,1,53,SF,2,udp,10.1.17.215,0.0557990074157714,104.0,2,NORMAL,False,0.005
64657,10.1.17.2,0,574.0,5,53,SF,6,udp,10.1.17.215,19.094252824783325,264.0,2,NORMAL,False,0.1081
49950,45.125.66.32,0,498570.0,400,2917,SF,197,tcp,10.1.17.215,4.2909791469573975,1977.0,1,NORMAL,False,0.115
51355,239.255.255.250,0,0.0,0,1900,S0,3,udp,10.1.17.215,6.024074077606201,411.0,2,NORMAL,False,0.1572
49959,52.113.194.132,0,7727.0,13,443,SF,10,tcp,10.1.17.215,60.2700400352478,780.0,1,NORMAL,False,0.2
49958,23.212.73.35,0,95635.0,76,443,SF,43,tcp,10.1.17.215,109.5518319606781,1115.0,1,NORMAL,False,0.205
49957,20.125.63.4,0,6882.0,13,443,SF,14,tcp,10.1.17.215,110.03863310813904,880.0,1,NORMAL,False,0.18
5353,224.0.0.251,0,0.0,0,5353,S0,2,udp,10.1.17.215,1.0018739700317385,86.0,2,NORMAL,False,0.01
49968,52.175.242.182,0,3100.0,10,443,RSTR,11,tcp,10.1.17.215,127.55223107337952,1303.0,1,NORMAL,False,0.25
49969,23.41.240.115,0,7658.0,11,443,SF,10,tcp,10.1.17.215,158.848042011261,671.0,1,NORMAL,False,0.14
59407,10.1.17.2,0,2519.0,23,53,SF,24,udp,10.1.17.215,164.4335539340973,834.0,2,NORMAL,False,0.257
138,10.1.17.255,0,0.0,0,138,S0,1,udp,10.1.17.215,0.0,0.0,2,ANOMALIE,True,0.9747
51347,10.1.17.2,0,124.0,1,53,SF,1,udp,10.1.17.215,0.0003540515899658,42.0,2,NORMAL,False,0.0
137,10.1.17.255,0,0.0,0,137,S0,1,udp,10.1.17.215,0.0,0.0,2,ANOMALIE,True,0.9747
137,10.1.17.2,0,0.0,0,137,S0,1,udp,10.1.17.215,0.0,0.0,2,ANOMALIE,True,0.9747
49970,52.113.194.132,0,8236.0,15,443,SF,13,tcp,10.1.17.215,72.4777729511261,1748.0,1,ANOMALIE,True,0.575
138,10.1.17.255,0,0.0,0,138,S0,8,udp,10.1.17.215,9.047651052474976,1536.0,2,NORMAL,False,0.1175
49971,52.113.194.132,0,7368.0,12,443,RSTR,8,tcp,10.1.17.215,67.64822912216187,1585.0,1,ANOMALIE,True,0.62
65409,10.1.17.2,0,2244.0,21,53,SF,21,udp,10.1.17.215,144.3669719696045,742.0,2,NORMAL,False,0.152
49951,45.125.66.252,0,4770.0,236,443,S1,122,tcp,10.1.17.215,591.3352568149567,3683.0,1,ANOMALIE,True,0.545
49689,5.252.153.241,0,1200466.0,1718,80,S1,1382,tcp,10.1.17.215,2592.042750120163,24688.0,1,NORMAL,False,0.075
49675,20.10.31.115,0,5721.0,26,443,S1,29,tcp,10.1.17.215,2441.875806093216,2979.0,1,NORMAL,False,0.325
49893,13.107.246.57,0,8999.0,17,443,RSTO,17,tcp,10.1.17.215,0.427645206451416,2856.0,1,NORMAL,False,0.005
49894,13.107.42.16,0,7727.0,18,443,RSTO,15,tcp,10.1.17.215,0.4283490180969238,2995.0,1,NORMAL,False,0.0
49895,13.107.21.239,0,7951.0,19,443,RSTO,15,tcp,10.1.17.215,0.3954579830169678,3144.0,1,NORMAL,False,0.0
49896,142.250.113.100,0,9939.0,18,443,RSTO,15,tcp,10.1.17.215,0.382134199142456,2553.0,1,NORMAL,False,0.025
49902,13.107.246.57,0,7196.0,10,443,RSTO,9,tcp,10.1.17.215,0.15236496925354,2490.0,1,NORMAL,False,0.03
49904,142.250.115.132,0,11484.0,13,443,RSTO,14,tcp,10.1.17.215,0.1635718345642089,2407.0,1,NORMAL,False,0.01
49907,23.205.110.155,0,0.0,1,443,RSTO,2,tcp,10.1.17.215,0.0496189594268798,0.0,1,ANOMALIE,True,0.9425
49906,23.205.110.145,0,0.0,1,443,RSTO,2,tcp,10.1.17.215,0.0580348968505859,0.0,1,ANOMALIE,True,0.9425
49905,13.107.21.239,0,0.0,1,443,RSTO,2,tcp,10.1.17.215,0.0594449043273925,0.0,1,ANOMALIE,True,0.9425
49899,10.1.17.2,0,1869.0,10,49668,RSTO,13,tcp,10.1.17.215,0.5286211967468262,3797.0,1,NORMAL,False,0.035
49898,10.1.17.2,0,644.0,4,135,RSTO,7,tcp,10.1.17.215,0.5333671569824219,496.0,1,NORMAL,False,0.045
49903,40.126.29.9,0,5159.0,9,443,RSTO,14,tcp,10.1.17.215,0.4564988613128662,1040.0,1,NORMAL,False,0.03
63421,10.1.17.2,0,274.0,1,53,SF,1,udp,10.1.17.215,0.0559630393981933,46.0,2,NORMAL,False,0.0353
61092,10.1.17.2,0,258.0,1,53,SF,1,udp,10.1.17.215,0.1198899745941162,46.0,2,NORMAL,False,0.0353
52436,10.1.17.2,0,199.0,1,53,SF,1,udp,10.1.17.215,0.0552480220794677,39.0,2,NORMAL,False,0.2967
56545,10.1.17.2,0,183.0,1,53,SF,1,udp,10.1.17.215,0.1051249504089355,39.0,2,NORMAL,False,0.085
56987,10.1.17.2,0,139.0,1,53,SF,1,udp,10.1.17.215,0.0409548282623291,36.0,2,NORMAL,False,0.0
60152,10.1.17.2,0,107.0,1,53,SF,1,udp,10.1.17.215,0.12481689453125,36.0,2,NORMAL,False,0.0
52135,10.1.17.2,0,157.0,1,53,SF,1,udp,10.1.17.215,0.0524220466613769,37.0,2,NORMAL,False,0.0
56616,10.1.17.2,0,61.0,1,53,SF,1,udp,10.1.17.215,0.0996890068054199,37.0,2,NORMAL,False,0.0
62091,10.1.17.2,0,93.0,1,53,SF,1,udp,10.1.17.215,0.0423839092254638,48.0,2,NORMAL,False,0.0
64983,10.1.17.2,0,77.0,1,53,SF,1,udp,10.1.17.215,0.0987100601196289,48.0,2,NORMAL,False,0.0
53829,10.1.17.2,0,219.0,1,53,SF,1,udp,10.1.17.215,0.064871072769165,50.0,2,NORMAL,False,0.1082
56173,10.1.17.2,0,263.0,1,53,SF,1,udp,10.1.17.215,0.0692098140716552,50.0,2,NORMAL,False,0.0603
54790,10.1.17.2,0,210.0,1,53,SF,1,udp,10.1.17.215,0.0465879440307617,39.0,2,NORMAL,False,0.2925
50743,10.1.17.2,0,178.0,1,53,SF,1,udp,10.1.17.215,0.0976638793945312,39.0,2,NORMAL,False,0.03
57328,10.1.17.2,0,295.0,1,53,SF,1,udp,10.1.17.215,0.0669870376586914,30.0,2,NORMAL,False,0.3953
51111,10.1.17.2,0,151.0,1,53,SF,1,udp,10.1.17.215,0.0972840785980224,30.0,2,NORMAL,False,0.0
63127,10.1.17.2,0,274.0,1,53,SF,1,udp,10.1.17.215,0.0004160404205322,46.0,2,NORMAL,False,0.0353
58240,10.1.17.2,0,318.0,1,53,SF,1,udp,10.1.17.215,0.0004169940948486,46.0,2,NORMAL,False,0.1203
62246,10.1.17.2,0,199.0,1,53,SF,1,udp,10.1.17.215,0.0002369880676269,39.0,2,NORMAL,False,0.2967
50043,10.1.17.2,0,240.0,1,53,SF,1,udp,10.1.17.215,0.0003130435943603,39.0,2,NORMAL,False,0.3053
51783,10.1.17.2,0,139.0,1,53,SF,1,udp,10.1.17.215,0.0003550052642822,36.0,2,NORMAL,False,0.0
63593,10.1.17.2,0,154.0,1,53,SF,1,udp,10.1.17.215,0.0003550052642822,36.0,2,NORMAL,False,0.0
53089,10.1.17.2,0,157.0,1,53,SF,1,udp,10.1.17.215,0.0004200935363769,37.0,2,NORMAL,False,0.0
56088,10.1.17.2,0,111.0,1,53,SF,1,udp,10.1.17.215,0.0004189014434814,37.0,2,NORMAL,False,0.0
49908,45.125.66.32,0,3149.0,76,2917,SF,107,tcp,10.1.17.215,3.7863199710845943,118170.0,1,NORMAL,False,0.475
49266,10.1.17.2,0,219.0,1,53,SF,1,udp,10.1.17.215,0.0001869201660156,50.0,2,NORMAL,False,0.1082
65275,10.1.17.2,0,263.0,1,53,SF,1,udp,10.1.17.215,0.0001850128173828,50.0,2,NORMAL,False,0.0603
60635,10.1.17.2,0,93.0,1,53,SF,1,udp,10.1.17.215,0.0003111362457275,48.0,2,NORMAL,False,0.0
62076,10.1.17.2,0,134.0,1,53,SF,1,udp,10.1.17.215,0.0003108978271484,48.0,2,NORMAL,False,0.0
62187,10.1.17.2,0,210.0,1,53,SF,1,udp,10.1.17.215,0.000180959701538,39.0,2,NORMAL,False,0.2925
64212,10.1.17.2,0,239.0,1,53,SF,1,udp,10.1.17.215,0.0001821517944335,39.0,2,NORMAL,False,0.3053
55470,10.1.17.2,0,295.0,1,53,SF,1,udp,10.1.17.215,0.0002021789550781,30.0,2,NORMAL,False,0.3953
50310,10.1.17.2,0,212.0,1,53,SF,1,udp,10.1.17.215,2.1457672119140625e-06,30.0,2,NORMAL,False,0.2625
60283,10.1.17.2,0,151.0,2,53,SF,3,udp,10.1.17.215,2.688114881515503,93.0,2,NORMAL,False,0.01
49884,10.1.17.2,0,376.0,5,135,SF,7,tcp,10.1.17.215,12.195008993148804,328.0,1,NORMAL,False,0.0
49822,45.125.66.252,0,9630.0,597,443,RSTO,304,tcp,10.1.17.215,1527.610671043396,8543.0,1,NORMAL,False,0.115
49870,20.189.173.16,0,7027.0,10,443,SF,13,tcp,10.1.17.215,110.01294279098512,1531.0,1,NORMAL,False,0.355
49885,10.1.17.2,0,1397.0,10,49668,SF,12,tcp,10.1.17.215,32.19919300079346,3421.0,1,NORMAL,False,0.04
49876,217.20.51.20,0,691.0,7,80,SF,7,tcp,10.1.17.215,60.154815912246704,569.0,1,NORMAL,False,0.07
49911,10.1.17.2,0,1620.0,10,445,RSTO,14,tcp,10.1.17.215,10.745131015777588,4853.0,1,NORMAL,False,0.05
62075,129.250.35.250,0,48.0,1,123,SF,1,udp,10.1.17.215,0.0471081733703613,48.0,2,NORMAL,False,0.0
62075,173.71.68.71,0,48.0,1,123,SF,1,udp,10.1.17.215,0.087609052658081,48.0,2,NORMAL,False,0.0
62075,94.198.159.14,0,48.0,1,123,SF,1,udp,10.1.17.215,0.1576299667358398,48.0,2,NORMAL,False,0.0
62075,194.58.203.20,0,48.0,1,123,SF,1,udp,10.1.17.215,0.1581008434295654,48.0,2,NORMAL,False,0.0
62075,213.239.239.164,0,48.0,1,123,SF,1,udp,10.1.17.215,0.1619510650634765,48.0,2,NORMAL,False,0.0
62075,193.171.23.163,0,48.0,1,123,SF,1,udp,10.1.17.215,0.1770381927490234,48.0,2,NORMAL,False,0.0
62075,133.243.238.243,0,48.0,1,123,SF,1,udp,10.1.17.215,0.1870379447937011,48.0,2,NORMAL,False,0.0
62075,62.149.0.30,0,48.0,1,123,SF,1,udp,10.1.17.215,0.1920208930969238,48.0,2,NORMAL,False,0.0
3,10.1.17.2,0,0.0,0,3,OTH,1,icmp,10.1.17.215,0.0,0.0,0,ANOMALIE,True,0.9827
137,10.1.17.255,0,0.0,0,137,S0,1,udp,10.1.17.215,0.0,0.0,2,ANOMALIE,True,0.9747
137,10.1.17.2,0,0.0,0,137,S0,1,udp,10.1.17.215,0.0,0.0,2,ANOMALIE,True,0.9747
51347,10.1.17.2,0,124.0,1,53,SF,1,udp,10.1.17.215,0.000413179397583,42.0,2,NORMAL,False,0.0
138,10.1.17.255,0,0.0,0,138,S0,8,udp,10.1.17.215,9.046954154968262,1536.0,2,NORMAL,False,0.1175
49912,45.125.66.32,0,2598459.0,1923,2917,SF,946,tcp,10.1.17.215,2.349008083343506,1127.0,1,NORMAL,False,0.165
49917,10.1.17.2,0,1859.0,6,88,RSTR,6,tcp,10.1.17.215,0.0052030086517333,1886.0,1,NORMAL,False,0.0
49931,10.1.17.2,0,3692.0,8,389,RSTR,9,tcp,10.1.17.215,0.0054290294647216,2599.0,1,NORMAL,False,0.055
49930,10.1.17.2,0,3659.0,10,389,RSTR,11,tcp,10.1.17.215,0.0148279666900634,3129.0,1,NORMAL,False,0.04
49925,13.107.246.57,0,9022.0,17,443,RSTO,16,tcp,10.1.17.215,0.3285870552062988,2856.0,1,NORMAL,False,0.005
49924,13.107.42.16,0,6719.0,16,443,RSTO,13,tcp,10.1.17.215,0.3466570377349853,3059.0,1,NORMAL,False,0.015
49926,204.79.197.239,0,7948.0,18,443,RSTO,17,tcp,10.1.17.215,0.3334798812866211,3176.0,1,NORMAL,False,0.0
49927,142.250.114.100,0,10151.0,18,443,RSTO,17,tcp,10.1.17.215,0.2470779418945312,2521.0,1,NORMAL,False,0.02
49932,204.79.197.239,0,0.0,1,443,RSTO,2,tcp,10.1.17.215,0.0827779769897461,0.0,1,ANOMALIE,True,0.9425
49929,10.1.17.2,0,1869.0,10,49668,RSTO,13,tcp,10.1.17.215,0.5943329334259033,3797.0,1,NORMAL,False,0.035
49928,10.1.17.2,0,644.0,4,135,RSTO,7,tcp,10.1.17.215,0.5990290641784668,496.0,1,NORMAL,False,0.045
49933,40.126.29.10,0,5158.0,9,443,RSTO,14,tcp,10.1.17.215,0.3536732196807861,1040.0,1,NORMAL,False,0.03
49943,10.1.17.2,0,3692.0,8,389,RSTR,9,tcp,10.1.17.215,0.0071370601654052,2599.0,1,NORMAL,False,0.055
49942,10.1.17.2,0,3659.0,10,389,RSTR,11,tcp,10.1.17.215,0.0196728706359863,3129.0,1,NORMAL,False,0.04
49934,13.107.42.16,0,7726.0,17,443,RSTO,16,tcp,10.1.17.215,0.514894962310791,3060.0,1,NORMAL,False,0.32
49935,13.107.246.57,0,8157.0,16,443,RSTO,15,tcp,10.1.17.215,0.4961090087890625,2920.0,1,NORMAL,False,0.065
49939,142.250.114.102,0,9904.0,16,443,RSTO,15,tcp,10.1.17.215,0.4343709945678711,2617.0,1,NORMAL,False,0.025
49938,13.107.21.239,0,7943.0,17,443,RSTO,16,tcp,10.1.17.215,0.4464538097381592,3112.0,1,NORMAL,False,0.0
49945,142.250.115.132,0,10461.0,11,443,RSTO,9,tcp,10.1.17.215,0.1330327987670898,1772.0,1,NORMAL,False,0.035
49947,23.205.110.142,0,0.0,1,443,RSTO,2,tcp,10.1.17.215,0.0356781482696533,0.0,1,ANOMALIE,True,0.9425
49948,23.205.110.148,0,0.0,1,443,RSTO,2,tcp,10.1.17.215,0.0348451137542724,0.0,1,ANOMALIE,True,0.9425
49946,13.107.21.239,0,0.0,1,443,RSTO,2,tcp,10.1.17.215,0.0610668659210205,0.0,1,ANOMALIE,True,0.9425
61482,10.1.17.2,0,94.0,1,53,SF,2,udp,10.1.17.215,0.0490820407867431,60.0,2,NORMAL,False,0.005
49474,10.1.17.2,0,55.0,1,53,SF,2,udp,10.1.17.215,0.0512008666992187,78.0,2,NORMAL,False,0.0
64989,10.1.17.2,0,51.0,1,53,SF,2,udp,10.1.17.215,0.054089069366455,70.0,2,NORMAL,False,0.0
49941,10.1.17.2,0,1869.0,10,49668,RSTO,13,tcp,10.1.17.215,0.6202049255371094,3797.0,1,NORMAL,False,0.035
49940,10.1.17.2,0,644.0,4,135,RSTO,7,tcp,10.1.17.215,0.6256828308105469,496.0,1,NORMAL,False,0.045
49944,40.126.29.10,0,5159.0,9,443,RSTO,15,tcp,10.1.17.215,0.5474541187286377,1041.0,1,NORMAL,False,0.215
50383,10.1.17.2,0,128.0,1,53,SF,2,udp,10.1.17.215,0.0618970394134521,68.0,2,NORMAL,False,0.0
61849,10.1.17.2,0,402.0,2,53,SF,3,udp,10.1.17.215,0.4726598262786865,128.0,2,NORMAL,False,0.1979
52118,10.1.17.2,0,274.0,1,53,SF,1,udp,10.1.17.215,0.0573160648345947,46.0,2,NORMAL,False,0.0353
58062,10.1.17.2,0,258.0,1,53,SF,1,udp,10.1.17.215,0.0977089405059814,46.0,2,NORMAL,False,0.0353
64845,10.1.17.2,0,199.0,1,53,SF,1,udp,10.1.17.215,0.0517749786376953,39.0,2,NORMAL,False,0.2967
51882,10.1.17.2,0,240.0,1,53,SF,1,udp,10.1.17.215,0.0468988418579101,39.0,2,NORMAL,False,0.3053
53654,10.1.17.2,0,139.0,1,53,SF,1,udp,10.1.17.215,0.0506880283355712,36.0,2,NORMAL,False,0.0
58638,10.1.17.2,0,93.0,1,53,SF,1,udp,10.1.17.215,0.0503530502319335,36.0,2,NORMAL,False,0.0
56681,10.1.17.2,0,157.0,1,53,SF,1,udp,10.1.17.215,0.0466499328613281,37.0,2,NORMAL,False,0.0
52147,10.1.17.2,0,61.0,1,53,SF,1,udp,10.1.17.215,0.0577418804168701,37.0,2,NORMAL,False,0.0
51830,10.1.17.2,0,239.0,1,53,SF,1,udp,10.1.17.215,0.0851171016693115,39.0,2,NORMAL,False,0.3053
56991,10.1.17.2,0,210.0,1,53,SF,1,udp,10.1.17.215,0.0581281185150146,39.0,2,NORMAL,False,0.2925
56246,10.1.17.2,0,295.0,1,53,SF,1,udp,10.1.17.215,0.0824429988861084,30.0,2,NORMAL,False,0.3953
60904,10.1.17.2,0,212.0,1,53,SF,1,udp,10.1.17.215,0.0777640342712402,30.0,2,NORMAL,False,0.2625
53390,10.1.17.2,0,199.0,1,53,SF,1,udp,10.1.17.215,0.0005221366882324,39.0,2,NORMAL,False,0.2967
62614,10.1.17.2,0,240.0,1,53,SF,1,udp,10.1.17.215,0.0005221366882324,39.0,2,NORMAL,False,0.3053
58075,10.1.17.2,0,274.0,1,53,SF,1,udp,10.1.17.215,0.0003430843353271,46.0,2,NORMAL,False,0.0353
55068,10.1.17.2,0,318.0,1,53,SF,1,udp,10.1.17.215,0.0002391338348388,46.0,2,NORMAL,False,0.1203
59062,10.1.17.2,0,139.0,1,53,SF,1,udp,10.1.17.215,0.0001928806304931,36.0,2,NORMAL,False,0.0
49248,10.1.17.2,0,154.0,1,53,SF,1,udp,10.1.17.215,0.0007989406585693,36.0,2,NORMAL,False,0.0
58970,10.1.17.2,0,157.0,1,53,SF,1,udp,10.1.17.215,0.0006129741668701,37.0,2,NORMAL,False,0.0
54133,10.1.17.2,0,111.0,1,53,SF,1,udp,10.1.17.215,0.000605821609497,37.0,2,NORMAL,False,0.0
49949,45.125.66.32,0,3184.0,83,2917,SF,106,tcp,10.1.17.215,3.7733850479125977,118081.0,1,NORMAL,False,0.475
60435,10.1.17.2,0,93.0,1,53,SF,1,udp,10.1.17.215,0.0488519668579101,48.0,2,NORMAL,False,0.0
61101,10.1.17.2,0,77.0,1,53,SF,1,udp,10.1.17.215,0.0783050060272216,48.0,2,NORMAL,False,0.0
62984,10.1.17.2,0,2583.0,24,53,SF,25,udp,10.1.17.215,160.55583691596985,883.0,2,NORMAL,False,0.202
49315,10.1.17.2,0,210.0,1,53,SF,1,udp,10.1.17.215,0.0002050399780273,39.0,2,NORMAL,False,0.2925
57685,10.1.17.2,0,239.0,1,53,SF,1,udp,10.1.17.215,0.0004510879516601,39.0,2,NORMAL,False,0.3053
59682,10.1.17.2,0,295.0,1,53,SF,1,udp,10.1.17.215,0.0002660751342773,30.0,2,NORMAL,False,0.3953
58476,10.1.17.2,0,212.0,1,53,SF,1,udp,10.1.17.215,0.0002667903900146,30.0,2,NORMAL,False,0.2625
